index,t,deaths_sim,date,0_y,13_y,20_y
173,173.0,26006.83,2020-08-23,,,
174,174.0,26006.84,2020-08-24,,,
175,175.0,26006.85,2020-08-25,,,
176,176.0,26006.86,2020-08-26,,,
177,177.0,26006.87,2020-08-27,,,
178,178.0,26006.87,2020-08-28,,,
179,179.0,26006.88,2020-08-29,,,
180,180.0,26006.89,2020-08-30,,,
181,181.0,26006.89,2020-08-31,,,
182,182.0,26006.9,2020-09-01,,,
183,183.0,26006.9,2020-09-02,,,
184,184.0,26006.91,2020-09-03,,,
185,185.0,26006.91,2020-09-04,,,
186,186.0,26006.91,2020-09-05,,,
187,187.0,26006.92,2020-09-06,,,
188,188.0,26006.92,2020-09-07,,,
189,189.0,26006.92,2020-09-08,,,
190,190.0,26006.93,2020-09-09,,,
191,191.0,26006.93,2020-09-10,,,
192,192.0,26006.93,2020-09-11,,,
193,193.0,26006.93,2020-09-12,,,
194,194.0,26006.93,2020-09-13,,,
195,195.0,26006.93,2020-09-14,,,
196,196.0,26006.94,2020-09-15,,,
197,197.0,26006.94,2020-09-16,,,
198,198.0,26006.94,2020-09-17,,,
199,199.0,26006.94,2020-09-18,,,
